PDB,LOOP,CAN_OLD,CAN_NEW,TYPE
1fdl,L3,,9A,FAB
1nfd,L3,,11G,FAB
1dn0,L3,,9A,FAB
3ck0,L3,,8B,FAB
1jhl,L3,9A,9A,FV
2v7h,L3,,9A,FAB
1mfe,L3,,9C,FAB
2dqu,L3,,9A,FAB
2j5l,L3,,9A,FAB
1ncw,L3,,9A,FAB
1zlw,L3,,9D,FAB
1yee,L3,,9A,FAB
2htl,L3,,9A,FAB
1u8p,L3,,9A,FAB
2vwe,L3,,9A,FAB
1cft,L3,,9A,FAB
1q9l,L3,,8B,FAB
2i60,L3,,11D,FAB
1q1j,L3,,12A,FAB
1dqq,L3,,9A,FAB
1mj7,L3,,9A,
1k4c,L3,,9A,FAB
2h9g,L3,,9A,FAB
2qql,L3,,9A,FAB
1jpt,L3,,9A,FAB
2jel,L3,,9A,FAB
1acy,L3,9A,9A,FAB
1oaq,L3,,9C,FV
2fjg,L3,,9A,FAB
1tzg,L3,,9A,FAB
3bky,L3,,9A,FAB
1q9q,L3,,8B,FAB
1qbm,L3,,9A,FAB
3hi6,L3,,8B,FAB
1cbv,L3,,9A,FAB
2w60,L3,,9A,FAB
2w9d,L3,,9A,FAB
3bqu,L3,,9A,FAB
35c8,L3,,9A,FAB
1rzg,L3,,9A,FAB
3dvg,L3,,11C,FAB
1dfb,L3,7A,7A,FAB
1mf2,L3,,9A,FAB
1lo3,L3,,9A,FAB
1i8m,L3,,9A,FAB
1bbj,L3,9A,9A,FAB
1ay1,L3,,9A,FAB
1q9t,L3,,8B,FAB
1mqk,L3,,10G,FV
1ktr,L3,,9A,FV
1j1p,L3,,9A,FV
1uj3,L3,,9A,FAB
2bfv,L3,,9A,FV
2fx7,L3,,9A,FAB
2hjf,L3,,9A,FAB
1fn4,L3,,8B,FAB
2pw1,L3,,9A,FAB
2qhr,L3,,13A,FAB
2v17,L3,,9A,FAB
3eys,L3,,9A,FAB
2dqi,L3,,9A,FV
3cle,L3,,9A,FAB
1f8t,L3,,9A,FAB
1rzf,L3,,11A,FAB
1seq,L3,,9A,FAB
1rfd,L3,,9A,FAB
2ny6,L3,,11D,FAB
2ipu,L3,,9A,FAB
1j1x,L3,,9A,FV
1ob1,L3,,9A,FAB
1rhh,L3,,9A,FAB
2hvj,L3,,9A,FAB
2vxq,L3,,9A,FAB
2h8p,L3,,9A,FAB
2hg5,L3,,9A,FAB
1i9i,L3,,9A,FAB
1tet,L3,9A,9A,FAB
2ny4,L3,,11D,FAB
1t4k,L3,,8B,FAB
1cfs,L3,,9A,FAB
1g9n,L3,,11D,FAB
1q9w,L3,,8B,FAB
2eiz,L3,,9A,FV
1m71,L3,,8B,FAB
2cmr,L3,,9A,FAB
1qkz,L3,,8B,FAB
1r3k,L3,,9A,FAB
3bpc,L3,,8B,FAB
1i8i,L3,,9A,FV
2aju,L3,,9A,FAB
2gjz,L3,,9A,FAB
3giz,L3,,9A,FAB
1mcp,L3,9A,9A,FAB
1ezv,L3,,9A,FV
1m7d,L3,,8B,FAB
3cfe,L3,,9A,FAB
2q76,L3,,9A,FAB
3cfk,L3,,9H,FAB
2uud,L3,,9A,FV
1mfb,L3,,9C,FAB
2gsi,L3,,9A,FAB
1w72,L3,,11A,FAB
2dqc,L3,,9A,FV
1ggi,L3,9A,9A,FAB
2zkh,L3,,9A,FAB
2igf,L3,,9A,FAB
2ht3,L3,,9A,FAB
2mpa,L3,,9A,FAB
2qr0,L3,,11F,FAB
2fjf,L3,,9A,FAB
2qqn,L3,,9A,FAB
2eh7,L3,,9A,FAB
3bkj,L3,,9A,FAB
1sy6,L3,,9A,FAB
2ak1,L3,,9A,FAB
1osp,L3,,9A,FAB
1ken,L3,,9I,FAB
43ca,L3,,9A,FV
1tzi,L3,,9G,FAB
3hb3,L3,,10G,FV
1xct,L3,,9A,FAB
1i9r,L3,,9A,FAB
1mrf,L3,,9A,FAB
1ggc,L3,,9A,FAB
2fgw,L3,,9A,FAB
1c08,L3,,9A,FV
1ae6,L3,,9A,FAB
1igj,L3,,9A,FAB
1n5y,L3,,9A,FAB
1ocw,L3,,9D,FV
1j1o,L3,,9A,FV
1eap,L3,8B,8B,FAB
2eks,L3,,9A,FV
1op3,L3,,9D,FAB
1clo,L3,,9A,FAB
3ggw,L3,,9A,FAB
1mlc,L3,,9A,FAB
1ic4,L3,,9A,FV
2r0z,L3,,9A,FAB
1h3p,L3,,8B,FAB
2aab,L3,,9A,FAB
2op4,L3,,9D,FAB
1mre,L3,,9A,FAB
1jgl,L3,,9A,FAB
1hin,L3,,9A,FAB
1c5b,L3,,9A,FAB
1fe8,L3,,9A,FAB
1yeh,L3,,9A,FAB
2ny5,L3,,11D,FAB
1a3r,L3,,9A,FAB
1kiq,L3,,9A,FV
1u8n,L3,,9A,FAB
32c2,L3,,8B,FAB
1tqb,L3,,9A,FAB
3hae,L3,,9D,FAB
1e6j,L3,,8B,FAB
1ncc,L3,,9A,FAB
3ikc,L3,,8B,FAB
2z4q,L3,,9A,FAB
2r1y,L3,,8B,FAB
1wt5,L3,,9A,FV
3eo9,L3,,9A,FAB
1nbv,L3,9A,9A,FAB
3fn0,L3,,9L,FAB
2cgr,L3,9A,9A,FAB
1n64,L3,,9A,FAB
1ua6,L3,,9A,FV
1mie,L3,,9A,
2r29,L3,,9I,FAB
3ejz,L3,,9A,FAB
1ruk,L3,,9A,FAB
2r1w,L3,,8B,FAB
2cju,L3,,9A,FV
2o5x,L3,,9A,FAB
1him,L3,,9A,FAB
1tqc,L3,,9A,FAB
2ipt,L3,,9A,FAB
1ncb,L3,9A,9A,FAB
1xf4,L3,,9A,FAB
3b9k,L3,,8B,FAB
1kb5,L3,,9A,FAB
1flr,L3,,9A,FAB
1mju,L3,,9A,FAB
1u91,L3,,9A,FAB
1bfv,L3,,9A,FV
1r3j,L3,,9A,FAB
1u92,L3,,9A,FAB
2r8s,L3,,9A,FAB
1k4d,L3,,9A,FAB
1oay,L3,,9D,FV
1wc7,L3,,9A,FAB
1yym,L3,,11D,FAB
1ncd,L3,,9A,FAB
1uwx,L3,,9A,FAB
1mfa,L3,9C,9C,FV
2ap2,L3,,9A,FV
2r2h,L3,,8B,FAB
2ck0,L3,,8B,FAB
3bkm,L3,,9A,FAB
1tzh,L3,,8B,FAB
1orq,L3,,9A,FAB
2hfe,L3,,9A,FAB
1bln,L3,,9A,FAB
2i5y,L3,,11D,FAB
2b1a,L3,,13B,FAB
3c2a,L3,,12A,FAB
2b1h,L3,,13B,FAB
3i9g,L3,,9A,FAB
1pz5,L3,,8B,FAB
1s3k,L3,,9A,FAB
1u8k,L3,,9A,FAB
1rzk,L3,,11D,FAB
2dlf,L3,,9A,FV
1nld,L3,,9A,FAB
3c09,L3,,9D,FAB
1h0d,L3,,9A,FAB
2fr4,L3,,9A,FAB
2yss,L3,,9A,FV
1ynl,L3,,9A,FAB
1uz8,L3,,9A,FAB
1j5o,L3,,9I,FAB
1ic5,L3,,9A,FV
1a0q,L3,,8B,FAB
2pw2,L3,,9A,FAB
2brr,L3,,9A,FAB
1c1e,L3,,9A,FAB
1f11,L3,,9A,FAB
1hkl,L3,,9A,FAB
1gpo,L3,,9A,FAB
1c5c,L3,,9A,FAB
1ngz,L3,,9A,FAB
1jn6,L3,,9D,FAB
2mcp,L3,,9A,FAB
1ndm,L3,,9A,FAB
1ynt,L3,,9A,FAB
1b4j,L3,,9A,FAB
1y18,L3,,9D,FAB
2j4w,L3,,9A,FAB
1gaf,L3,,9A,FAB
2itc,L3,,9A,FAB
2d03,L3,,9A,FAB
3hfm,L3,9A,9A,FAB
1nc4,L3,,9D,FAB
1p4i,L3,,9D,FV
1rua,L3,,9A,FAB
3bsz,L3,,9A,FAB
1mjj,L3,,9A,FAB
2r0l,L3,,9A,FAB
1f4y,L3,,9D,FAB
1xcq,L3,,9A,FAB
1igi,L3,9A,9A,FAB
1yeg,L3,,9A,FAB
1bfo,L3,,9A,FAB
1i8k,L3,,9A,FV
3eo1,L3,,9A,FAB
3g04,L3,,11A,FAB
1v7m,L3,,9A,FAB
3bae,L3,,9A,FAB
2zck,L3,,9A,FAB
1opg,L3,,9A,FAB
2f5a,L3,,9A,FAB
1uyw,L3,,9A,FAB
2adi,L3,,9A,FAB
2ajs,L3,,9A,FAB
1hq4,L3,,9A,FAB
2boc,L3,,9A,FAB
1hil,L3,9A,9A,FAB
1zan,L3,,9A,FAB
2aeq,L3,,9A,FAB
3hc0,L3,,9A,FAB
1ngw,L3,,9A,FAB
3eyq,L3,,10H,FAB
1yyl,L3,,11D,FAB
3g6j,L3,,9A,FAB
1hh9,L3,,9A,FAB
1op5,L3,,9D,FAB
1bvk,L3,,9A,FV
1ynk,L3,,9A,FAB
1a6v,L3,,9D,FV
2i9l,L3,,8B,FAB
1dql,L3,,8B,FV
1fpt,L3,9A,9A,FAB
2dqj,L3,,9A,FV
2ny2,L3,,11D,FAB
1ahw,L3,,9A,FAB
1etz,L3,,9D,FAB
3c6s,L3,,9A,FAB
2iff,L3,,8B,FAB
1om3,L3,,9D,FAB
1l7i,L3,,9A,FAB
1cly,L3,,9A,FAB
1kem,L3,,9A,FAB
2iq9,L3,,9A,FAB
1c5d,L3,,8B,FAB
1riv,L3,,9A,FAB
1oar,L3,,9D,FV
1cl7,L3,,9A,FAB
1nd0,L3,,9A,FAB
2r9h,L3,,9A,FAB
1rul,L3,,9A,FAB
2atk,L3,,9A,FAB
1u8l,L3,,9A,FAB
2pcp,L3,,9A,FAB
1dqd,L3,,9A,FAB
1mim,L3,,7A,FAB
2ht2,L3,,9A,FAB
1u93,L3,,9A,FAB
1yuh,L3,,9D,FAB
1rum,L3,,9A,FAB
1igm,L3,9A,9A,FV
3hnv,L3,,9A,FAB
2vis,L3,,9D,FAB
1u8q,L3,,9A,FAB
1y0l,L3,,9D,FAB
3fzu,L3,,9A,FAB
2z92,L3,,9A,FAB
1fvd,L3,9A,9A,FV
1iqd,L3,,9D,FAB
1emt,L3,,9A,FAB
1zls,L3,,9D,FAB
1iai,L3,,9I,FAB
3bgf,L3,,9A,FAB
2vit,L3,,9D,FAB
2f19,L3,,9A,FAB
1xf2,L3,,9A,FAB
1rup,L3,,9A,FAB
1bql,L3,,8B,FAB
2uyl,L3,,9A,FAB
1ngy,L3,,9A,FAB
1f4x,L3,,9D,FAB
2fbj,L3,9B,9D,FAB
1ar1,L3,,10G,FV
1dbk,L3,,9A,FAB
1yjd,L3,,9A,FAB
1rzj,L3,,11D,FAB
2ny3,L3,,11D,FAB
2o5z,L3,,9A,FAB
1i3g,L3,,9A,FV
2adj,L3,,9A,FAB
1mrc,L3,,9A,FAB
2hrp,L3,,9A,FAB
1sbs,L3,,9A,FAB
1a6u,L3,,9D,FV
2bmk,L3,,9A,FAB
1rz7,L3,,8B,FAB
1r24,L3,,9A,FAB
1ct8,L3,,9A,FAB
1dqj,L3,,9A,FAB
2fat,L3,,8B,FAB
3h42,L3,,11A,FAB
3i2c,L3,,9A,FAB
4fab,L3,9A,9A,FAB
1f4w,L3,,9D,FAB
1clz,L3,,9A,FAB
2exy,L3,,9A,FAB
2dqd,L3,,9A,FV
1mfc,L3,,9C,FAB
1u95,L3,,9A,FAB
1ndg,L3,,9A,FAB
1iqw,L3,,9A,FAB
25c8,L3,,9A,FAB
1cu4,L3,,9A,FAB
2ih1,L3,,9A,FAB
3eo0,L3,,9A,FAB
2jix,L3,,9A,FAB
1fgv,L3,9A,9A,FV
2r56,L3,,9A,FAB
1tpx,L3,,9A,FAB
1riu,L3,,9A,FAB
1f90,L3,,9A,FAB
1e4x,L3,,9A,FAB
1bog,L3,,9A,FAB
1q72,L3,,9A,FAB
2eh8,L3,,9A,FAB
1dqm,L3,,9A,FAB
2r1x,L3,,8B,FAB
1g9m,L3,,11D,FAB
1u8i,L3,,9A,FAB
2hwz,L3,,9A,FAB
1adq,L3,,11A,FAB
1mh5,L3,,9A,FAB
2dd8,L3,,10I,FAB
3e8u,L3,,9A,FAB
1bz7,L3,,9A,FAB
1qle,L3,,10G,FV
1b2w,L3,,9A,FAB
1aj7,L3,,9A,FAB
2agj,L3,,9A,FAB
2vir,L3,,9D,FAB
1mam,L3,9A,9A,FAB
3gi9,L3,,9A,FAB
2adf,L3,,8B,FAB
3cfj,L3,,9H,FAB
2zpk,L3,,9C,FAB
3f58,L3,,9A,FAB
1qlr,L3,,9A,FAB
1j05,L3,,9A,FV
1c12,L3,,9A,FAB
1igc,L3,9A,9A,FAB
1ors,L3,,8B,FAB
2o5y,L3,,9A,FAB
2r0w,L3,,9A,FAB
1fj1,L3,,9A,FAB
1jnl,L3,,9A,FAB
2gfb,L3,9A,9A,FAB
1mrd,L3,,9A,FAB
2hfg,L3,,9A,FAB
1mlb,L3,9A,9A,FAB
2f58,L3,,9A,FAB
1cf8,L3,,9A,FAB
2htk,L3,,9A,FAB
1ehl,L3,,8B,FAB
1l7t,L3,,9A,FAB
1r3l,L3,,9A,FAB
1yec,L3,,9A,FAB
1ngp,L3,,9D,FAB
1xf5,L3,,9A,FAB
2vxv,L3,,10E,FAB
1fig,L3,9E,9E,FAB
1ru9,L3,,9A,FAB
1oax,L3,,9D,FV
3d0v,L3,,9A,FAB
1xiw,L3,,9A,FV
1ic7,L3,,9A,FV
2gk0,L3,,9A,FAB
3bz4,L3,,9A,FAB
1dbj,L3,,9A,FAB
2d7t,L3,,9A,FV
3bkc,L3,,9A,FAB
1sm3,L3,,9D,FAB
1psk,L3,,9A,FAB
1ggb,L3,,9A,FAB
1a14,L3,,9A,FV
1mnu,L3,,9A,FAB
1wej,L3,,9A,FAB
1kir,L3,,9A,FV
3g6a,L3,,10I,FAB
2ajz,L3,,9A,FAB
1q9v,L3,,8B,FAB
1i9j,L3,,9A,FAB
1axt,L3,,9A,FAB
1q0x,L3,,9C,FAB
1t3f,L3,,9A,FAB
1fai,L3,9A,9A,FAB
1s5h,L3,,9A,FAB
2dqe,L3,,9A,FV
3bdy,L3,,9A,FAB
2adg,L3,,9A,FAB
1bj1,L3,,9A,FAB
1ngx,L3,,9A,FAB
2h2p,L3,,9A,FAB
2r2b,L3,,8B,FAB
1lo0,L3,,9A,FAB
